"20"	"15"	"2"	"0"	""	"0"	"190"	"100509010002"	"松城牌阻燃板9mmB1-C/安徽沪千(5月6日)"	"110.0000"	""	"0"	"0.00000000"	""	"770.0000"	"770.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"991"
"21"	"15"	"2"	"0"	""	"0"	"188"	"100505010002"	"松城牌阻燃板5mmB1-C/安徽沪千(5月6日)"	"160.0000"	""	"0"	"0.00000000"	""	"1120.0000"	"1120.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"994"
"22"	"15"	"2"	"0"	""	"0"	"186"	"100503010002"	"松城牌阻燃板3mmB1-C/安徽沪千(5月6日)"	"238.0000"	""	"0"	"0.00000000"	""	"1666.0000"	"1666.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"995"
"23"	"16"	"2"	"0"	""	"0"	"102"	"100118020001"	"牛材牌常规密度板18mmE2/安徽宣城高立（1月19日）"	"70.0000"	""	"0"	"0.00000000"	""	"700.0000"	"700.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"3"
"24"	"16"	"2"	"0"	""	"0"	"165"	"100125010002"	"牛材牌常规密度板25mmE1/安徽宣城高立"	"50.0000"	""	"0"	"0.00000000"	""	"500.0000"	"500.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1"
"25"	"17"	"2"	"0"	""	"0"	"102"	"100118020001"	"牛材牌常规密度板18mmE2/安徽宣城高立（1月19日）"	"70.0000"	""	"0"	"0.00000000"	""	"700.0000"	"700.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"3"
"26"	"17"	"2"	"0"	""	"0"	"165"	"100125010002"	"牛材牌常规密度板25mmE1/安徽宣城高立"	"50.0000"	""	"0"	"0.00000000"	""	"500.0000"	"500.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1"
"27"	"18"	"229"	"295"	"江苏新沂沪千人造板制造有限公司"	"38"	"177"	"100512010002"	"牛材-松城牌12mm阻燃板B1-C"	"105.0000"	"张"	"0"	"89.00000000"	""	"50.0000"	"50.0000"	"4450.0000"	""	""	""	"0"	""	""	""	"0.00"	"78"
"28"	"19"	"233"	"299"	"安徽省阜阳沪千人造板制造有限公司"	"5"	"27"	"100202420001 "	"牛材牌2.4mmE2级超薄板"	"290.0000"	"张"	"0"	"13.10000000"	""	"290.0000"	"290.0000"	"3799.0000"	""	""	""	"0"	""	""	""	"0.00"	"15"
"29"	"20"	"218"	"283"	"江苏新沂沪千人造板制造有限公司"	"20"	"35"	"100125010001 "	"牛材牌25mmE1级密度板2"	"50.0000"	"张"	"0"	"107.80000000"	""	"50.0000"	"50.0000"	"5390.0000"	""	""	""	"0"	""	""	""	"0.00"	"45"
"30"	"21"	"231"	"297"	""	"0"	"176"	"100512010001"	"牛材-松城牌12mm阻燃板B1-B"	"105.0000"	"张"	"0"	"106.60000000"	""	"1575.0000"	"1575.0000"	"167895.0000"	""	""	"新沂仓库自提"	"0"	""	""	""	"0.00"	"1012"
"31"	"22"	"2"	"0"	""	"0"	"98"	"100109020001"	"牛材牌常规密度板9mmE2/安徽沪千（1月19日）"	"120.0000"	""	"0"	"0.00000000"	""	"600.0000"	"600.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"999"
"32"	"22"	"2"	"0"	""	"0"	"105"	"100109010001x"	"牛材牌常规密度板9mmE1/安徽沪千（1月17日）"	"120.0000"	""	"0"	"0.00000000"	""	"1560.0000"	"1560.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"0"
"33"	"23"	"2"	"0"	""	"0"	"99"	"100115010002"	"牛材牌常规密度板15mmE1/安徽宣城高立(1月19日)"	"85.0000"	""	"0"	"0.00000000"	""	"1700.0000"	"1700.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1005"
"34"	"24"	"235"	"301"	""	"0"	"190"	"100509010002"	"牛材-松城牌9mm阻燃板B1-C"	"110.0000"	"张"	"0"	"66.00000000"	""	"1980.0000"	"1980.0000"	"130680.0000"	""	""	""	"0"	""	""	""	"0.00"	"991"
"35"	"25"	"2"	"0"	""	"0"	"99"	"100115010002"	"牛材牌常规密度板15mmE1/安徽宣城高立(1月19日)"	"85.0000"	""	"0"	"0.00000000"	""	"1700.0000"	"1700.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1005"
"36"	"26"	"238"	"307"	""	"0"	"177"	"100512010002"	"牛材-松城牌12mm阻燃板B1-C"	"105.0000"	"张"	"0"	"87.00000000"	""	"525.0000"	"0.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1011"
